className,NoKey,maxInDoc,totalInDoc,maxInAllClasses,maxInSpecClasses,totalInAllClasses,totalInSpecClasses,weightInAllClasses,weightInSpecClasses,NumAttr,NumOps,NumPubOps,Setters,Getters,Dep_Out,Dep_In,EC_Attr,IC_Attr,EC_Par,IC_Par,In_Design
EA_Model.Class_Model.org.junit.internal.matchers.ThrowableMessageMatcher,3,2,5,8,7,19,11,6.333333333,3.666666667,1,5,3,0,1,0,0,0,0,0,2,N
EA_Model.Class_Model.org.junit.internal.matchers.TypeSafeMatcher.=T,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
EA_Model.Class_Model.org.junit.internal.matchers.TypeSafeMatcher,3,7,9,57,7,66,11,22,3.666666667,1,6,2,0,1,0,0,0,0,0,0,N
EA_Model.Class_Model.org.junit.internal.requests.ClassRequest,2,5,9,51,11,59,15,29.5,7.5,4,3,3,0,1,0,0,0,1,0,1,N
EA_Model.Class_Model.org.junit.internal.requests.FilterRequest,2,7,11,23,7,31,11,15.5,5.5,2,2,2,0,1,0,0,0,2,0,3,N
EA_Model.Class_Model.org.junit.internal.requests.SortingRequest,2,4,7,8,4,11,5,5.5,2.5,2,2,2,0,1,0,0,0,1,0,2,N
EA_Model.Class_Model.org.junit.internal.runners.ClassRoadie,2,5,6,51,11,53,13,26.5,6.5,4,6,2,0,0,0,0,0,3,0,3,N
EA_Model.Class_Model.org.junit.internal.runners.ErrorReportingRunner,3,1,3,11,11,19,19,6.333333333,6.333333333,2,6,3,0,2,0,0,0,0,0,4,N
EA_Model.Class_Model.org.junit.internal.runners.FailedBefore,2,1,2,4,4,6,6,3,3,1,0,0,0,0,0,0,0,0,0,0,N
EA_Model.Class_Model.org.junit.internal.runners.InitializationError,2,5,6,13,7,20,9,10,4.5,2,4,4,0,1,0,0,0,0,0,0,N
EA_Model.Class_Model.org.junit.internal.runners.JUnit38ClassRunner.OldTestClassAdaptingListener,5,6,23,58,27,146,48,29.2,9.6,1,8,4,0,2,0,0,0,1,0,10,N
EA_Model.Class_Model.org.junit.internal.runners.JUnit38ClassRunner,4,5,10,51,12,108,34,27,8.5,1,12,7,1,3,0,0,0,1,0,13,N
EA_Model.Class_Model.org.junit.internal.runners.JUnit4ClassRunner,4,5,10,51,12,108,34,27,8.5,2,18,5,0,4,0,0,0,1,0,11,N
EA_Model.Class_Model.org.junit.internal.runners.MethodRoadie,2,3,4,11,9,13,11,6.5,5.5,4,9,4,0,0,0,0,0,3,0,3,N
EA_Model.Class_Model.org.junit.internal.runners.MethodValidator,2,3,5,11,9,17,14,8.5,7,2,7,6,0,0,0,0,0,1,0,1,N
EA_Model.Class_Model.org.junit.internal.runners.SuiteMethod,2,3,5,11,9,18,15,9,7.5,0,2,2,0,0,0,0,0,0,0,1,N
EA_Model.Class_Model.org.junit.internal.runners.TestClass,2,5,10,58,27,109,38,54.5,19,1,12,6,0,10,0,0,4,0,4,0,N
EA_Model.Class_Model.org.junit.internal.runners.TestMethod,2,5,8,58,27,69,36,34.5,18,2,9,4,0,6,0,0,1,1,2,1,N
EA_Model.Class_Model.org.junit.internal.runners.model.EachTestNotifier,3,5,7,58,27,62,30,20.66666667,10,2,7,6,0,0,0,0,0,2,0,4,N
EA_Model.Class_Model.org.junit.internal.runners.model.MultipleFailureException,3,2,4,11,8,20,10,6.666666667,3.333333333,1,1,1,0,0,0,0,0,0,1,0,N
EA_Model.Class_Model.org.junit.internal.runners.model.ReflectiveCallable,2,2,3,3,2,5,3,2.5,1.5,0,2,1,0,0,0,0,0,0,0,0,N
EA_Model.Class_Model.org.junit.internal.runners.statements.ExpectException,2,1,2,4,4,5,4,2.5,2,2,2,2,0,0,0,0,0,1,0,1,N
EA_Model.Class_Model.org.junit.internal.runners.statements.Fail,1,1,1,4,4,4,4,4,4,1,2,2,0,0,0,0,0,0,0,0,N
EA_Model.Class_Model.org.junit.internal.runners.statements.FailOnTimeout.CallableStatement,2,2,3,4,3,6,5,3,2.5,0,1,1,0,0,0,0,0,0,0,0,N
EA_Model.Class_Model.org.junit.internal.runners.statements.FailOnTimeout,3,1,2,4,4,6,6,2,2,5,11,4,0,4,0,0,0,1,0,3,N
EA_Model.Class_Model.org.junit.internal.runners.statements.InvokeMethod,2,3,4,11,9,12,10,6,5,2,2,2,0,0,0,0,0,1,0,1,N
EA_Model.Class_Model.org.junit.internal.runners.statements.RunAfters,2,1,1,6,6,6,6,3,3,3,2,2,0,0,0,0,0,1,0,1,N
EA_Model.Class_Model.org.junit.internal.runners.statements.RunBefores,2,1,2,6,6,8,8,4,4,3,2,2,0,0,0,0,0,1,0,1,N
EA_Model.Class_Model.org.junit.matchers.JUnitMatchers,3,4,5,46,12,53,19,17.66666667,6.333333333,0,10,10,0,6,0,0,0,0,0,0,N
EA_Model.Class_Model.org.junit.rules.ErrorCollector,2,2,3,7,7,9,8,4.5,4,1,5,4,0,0,0,0,0,0,0,0,N
EA_Model.Class_Model.org.junit.rules.ExpectedException.ExpectedExceptionStatement,3,2,4,4,4,9,7,3,2.333333333,1,2,2,0,0,0,0,0,1,0,1,N
EA_Model.Class_Model.org.junit.rules.ExpectedException,2,1,2,4,4,5,4,2.5,2,2,15,10,0,1,0,0,0,1,0,2,N
EA_Model.Class_Model.org.junit.rules.ExpectedExceptionMatcherBuilder,4,4,7,17,9,29,20,7.25,5,1,6,0,0,0,0,0,1,0,0,0,N
EA_Model.Class_Model.org.junit.rules.ExternalResource,2,5,6,76,1,77,2,38.5,1,0,4,1,0,0,0,0,0,0,0,5,N
EA_Model.Class_Model.org.junit.rules.RuleChain,2,2,4,5,2,7,3,3.5,1.5,2,5,4,0,0,0,0,0,0,0,5,N
EA_Model.Class_Model.org.junit.rules.RunRules,2,2,3,6,6,11,8,5.5,4,1,3,2,0,0,0,0,0,1,0,5,N
EA_Model.Class_Model.org.junit.rules.Stopwatch,1,1,1,1,1,1,1,1,1,2,17,4,0,1,0,0,0,0,0,11,N
EA_Model.Class_Model.org.junit.rules.TemporaryFolder,2,2,3,2,1,3,2,1.5,1,2,15,10,0,2,0,0,0,0,0,0,N
EA_Model.Class_Model.org.junit.rules.TestName,2,5,9,58,27,100,28,50,14,1,2,1,0,1,0,0,0,0,0,1,N
EA_Model.Class_Model.org.junit.rules.TestWatcher,2,5,6,58,27,59,28,29.5,14,0,11,1,0,0,0,0,0,0,0,15,N
EA_Model.Class_Model.org.junit.rules.TestWatchman,2,5,6,58,27,59,28,29.5,14,0,5,5,0,0,0,0,0,0,0,7,N
EA_Model.Class_Model.org.junit.rules.Timeout,1,1,1,2,2,2,2,2,2,3,7,6,0,0,0,0,0,0,0,3,N
EA_Model.Class_Model.org.junit.rules.Verifier,1,1,1,1,1,1,1,1,1,0,2,1,0,0,0,0,0,0,0,3,N
EA_Model.Class_Model.org.junit.runner.Computer,1,1,1,2,2,2,2,2,2,0,3,2,0,2,0,0,0,0,7,4,N
EA_Model.Class_Model.org.junit.runner.Description,1,3,3,3,1,3,1,3,1,9,27,23,0,11,0,0,5,0,111,0,N
EA_Model.Class_Model.org.junit.runner.FilterFactories,2,8,15,46,7,69,11,34.5,5.5,0,5,3,0,0,0,0,0,0,0,8,N
EA_Model.Class_Model.org.junit.runner.FilterFactoryParams,3,8,17,46,7,71,12,23.66666667,4,1,2,2,0,1,0,0,0,0,4,0,N
EA_Model.Class_Model.org.junit.runner.JUnitCommandLineParseResult.CommandLineParserError,4,4,11,10,7,34,12,8.5,3,0,1,1,0,0,0,0,0,0,0,0,N
