Name,NumOps,EC_Attr,EC_Par,IC_Par,Assoc,NumDirClients,NumIndClients,NumAnc,NumDesc,Diags
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggContract.BuddiesColumns,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggContract.CategoriesColumns,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggContract.CollectionColumns,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggContract.CollectionViewFiltersColumns,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggContract.CollectionViewsColumns,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggContract.DesignersColumns,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggContract.GameColorsColumns,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggContract.GamePollResultsColumns,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggContract.GamePollResultsResultColumns,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggContract.GamePollsColumns,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggContract.GameRanksColumns,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggContract.GamesColumns,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggContract.GamesExpansionsColumns,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggContract.MechanicsColumns,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggContract.PlayItemsColumns,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggContract.PlayPlayersColumns,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggContract.PlaysColumns,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggContract.PublishersColumns,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggContract.SyncColumns,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggContract.SyncListColumns,0,0,0,0,0,0,0,0,0,0
EA_Model.Model.Class Model.com.boardgamegeek.provider.BggDatabase.GamesArtists,0,0,0,0,0,0,0,0,0,0
