word,inDoc,total,gwt_portlet,ArgoUML,JavaClient,JGAP,Mars,Neuroph,JPMC,xUML,Maze,Wro4J
resuppli,1,13,0,0,0,0,13,0,0,0,0,0
provid,2,13,12,1,0,0,0,0,0,0,0,0
manufactur,1,13,0,0,0,0,13,0,0,0,0,0
mainten,1,13,0,0,0,0,13,0,0,0,0,0
learn,1,13,0,0,0,0,0,13,0,0,0,0
histori,2,13,0,12,0,1,0,0,0,0,0,0
gp,2,13,0,0,2,11,0,0,0,0,0,0
frame,5,13,0,0,0,1,5,4,2,0,1,0
file,4,13,0,3,0,1,0,8,0,0,0,1
edit,5,13,0,3,0,0,2,1,6,0,1,0
demo,3,13,11,0,0,0,0,1,1,0,0,0
code,1,13,0,13,0,0,0,0,0,0,0,0
chart,3,13,0,0,0,0,2,0,10,1,0,0
abstract,6,13,1,3,1,1,0,0,3,0,0,4
piec,1,12,0,12,0,0,0,0,0,0,0,0
locat,4,12,0,1,0,0,4,0,0,0,1,6
input,4,12,0,4,0,0,2,4,0,0,0,2
gene,1,12,0,0,0,12,0,0,0,0,0,0
control,5,12,1,1,8,0,0,1,0,0,1,0
speed,2,11,0,0,9,0,2,0,0,0,0,0
simul,2,11,0,0,4,0,7,0,0,0,0,0
sampl,3,11,0,0,0,0,1,7,3,0,0,0
repair,1,11,0,0,0,0,11,0,0,0,0,0
navig,2,11,0,9,0,0,2,0,0,0,0,0
mode,3,11,0,3,7,0,0,1,0,0,0,0
limb,1,11,0,0,11,0,0,0,0,0,0,0
initi,4,11,0,5,0,1,4,0,0,1,0,0
geom,1,11,0,0,11,0,0,0,0,0,0,0
entiti,2,11,0,1,0,0,10,0,0,0,0,0
end,2,11,0,7,0,0,0,0,0,4,0,0
context,2,11,0,4,0,0,0,0,0,0,0,7
complaint,1,11,0,0,0,0,11,0,0,0,0,0
collabor,3,11,0,4,0,0,1,0,0,6,0,0
ch,1,11,0,11,0,0,0,0,0,0,0,0
adapt,5,11,1,2,0,0,0,1,1,6,0,0
activ,3,11,0,4,0,0,1,0,0,6,0,0
